Description,TotalSalesDollars,ProfitMargin
Bacardi Party Drinks Hurricn,159.9,33.35834896810507
Bacardi Party Drinks Rum Run,303.81000000000006,4.31519699812385
Bacardi Peach Red Rum,287.76,39.6163469557965
Bacardi Reserva Limitada,2879.6799999999985,95.30086676297365
Badenhorst Secateurs Chen Bl,6785.2799999999625,32.842565082059636
Badenhorst Secateurs Red,4045.169999999986,16.494980433454927
Bak's Krupnik Honey Liqueur,704.5300000000003,36.67267540062172
Bakon Vodka,2049.1800000000003,43.77751100440179
Balcones Baby Blue Corn Whis,275.94,22.483148510545767
Balcones TX Whisky Single Ba,389.94,23.08047391906447
Balletto 15 Rose Pnt Nr RRV,9956.13999999994,15.818278971568791
Balvenie 15 Yr Single Malt,899.9000000000001,57.141904656072896
Banfi Centine Bianco Toscana,4649.829999999974,39.38423555269729
Banfi Grappa Castello,1984.4800000000002,35.068128678545534
Banfi Pnt Grigio Rime,7485.7799999999315,35.14102738792693
Banfi Poggio All'Oro Br Mont,3755.7500000000005,55.343140517872605
Banfi Poggio Alle Mura Montl,9308.599999999988,28.801538362374473
Banfi Poggio Alle Mura Rsva,1876.8200000000002,72.32339808825566
Banfi Summus Tuscany Red,2902.5199999999986,83.68176618938026
Banknote Counterfeit,579.71,38.46578461644615
Banshee 12 Marine Layer Pnt,1221.74,39.67292549969716
Banshee Cab Svgn Napa Vly,6997.939999999985,60.37548192753859
Banshee Chard,670.6400000000001,82.15137778838124
Banshee Mordecai Proprietary,4977.509999999988,30.7826604065083
Banshee Rose 14 Pnt Nr Sonom,203.88,34.66745144202473
Barbarossa Spiced Rum,945.1400000000003,98.22460164631696
Barbera d'Alba Alessandria,5085.529999999978,45.47706925335191
Barboursville Rsv Cab Franc,143.94,33.76406836181742
Barco de Piedra Temp Red,407.76,35.49146556798116
Barcraft Watermelon Fresca V,6294.749999999955,84.72504865165405
Barefoot Bubbly Berry Fusion,109.88999999999999,33.33333333333332
Barefoot Bubbly Tropical Fus,459.5400000000001,16.16181398790095
Barefoot Cellars Cab Svgn,2329.91,27.804078269117642
Barefoot Cellars Malbec,6333.42999999997,23.204301424394625
Barefoot Cellars Moscato,1979.4500000000007,29.782010154335797
Barefoot Cellars Rich Red,298.74000000000007,12.365267456651283
Barefoot Cellars Rosa Red,406.5800000000002,76.0932657779527
Barefoot Cellars Sweet Red,1495.7700000000007,24.71364271376875
